"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";"SUPPLIER";
"C1";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C7";"12p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C8";"12p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"D1";"SFH482";"SFH482";"SFH482";"IR LED";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"LED1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";
"D3";"BAT54";"BAT54";"SOT23";"Schottky barrier diodePlanar Schottky barrier diode encapsulated in small plastic SMD packages. Single diodes and double";"";"";"";"";"";"";"";"";"";"";"";
"D4";"";"LED1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";
"G1";"1066";"1066";"1066";"Keystone 1066 Li Coin Cell Holder";"Good";" Coin Cell Holder";" 20 mm";" 0.896 in.";" Glass Filled Nylon";" Tin Plate";" 1 ";"Greenlee Communications";"1066";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"R1";"510";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R2";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R3";"51";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R4";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R5";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R6";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R7";"0";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R8";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"S1";"PB400EEQX";"PB400EEQX";"SW_PB400EEQX";"Right Angle Pushbutton Switch";"Warning";" Right Angle Pushbutton Switch ";"E-Switch";"PB400EEQX";"";"";"";"None";"0.96 USD";"";"";
"SV1";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"U1";"PIC12F683-I/SN";"PIC12F683-I/SN";"SOIC127P600X175-8N";"IC, 8BIT MCU, PIC12, 20MHZ";"";"";"";"";"PIC12F683-I/SN";"9759042";"61K3434";"SOIC-8";"";"";"MICROCHIP";
"U2";"CAT3200TDI-GT3";"CAT3200TDI-GT3";"SOT95P280X100-6N";"DC-DC Converter";"Good";" Regulated Charge Pump, Low Noise, DC-DC Converter ";"ON Semiconductor";"CAT3200TDI-GT3";"";"";"";"TSOT-23-6 ON Semiconductor";"0.79 USD";"";"";
"U3";"BSS138-7-F";"BSS138-7-F";"SOT95P240X110-3N";"ENHANCEMENT MODE MOSFET";"";"";"";"";"BSS138-7-F";"1843693";"12T1442";"SOT-23-3";"";"";"DIODES INC.";
"Y1";"CRYSTAL.ABS07";"CRYSTAL.ABS07";"ABS07";"";"";"";"";"";"";"";"";"";"";"";"";
